,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Unnamed: 15
31,B Ivanov (),2019-2019,3,3,1,24,14,12.00,55,43.63,0,0,0,1,0,
32,Jagjit Singh (Peru),2019-2019,4,4,0,24,12,6.00,30,80.0,0,0,0,1,0,
33,MJ McClenaghan (ICC/NZ),2012-2018,29,8,4,24,10,6.00,23,104.34,0,0,2,1,2,
34,Rameez Raja (2) (PAK),2011-2011,2,2,0,24,23,12.00,29,82.75,0,0,0,2,0,
35,B Regmi (NEPAL),2014-2019,18,11,4,24,11,3.42,56,42.85,0,0,1,2,0,
36,CP Schofield (ENG),2007-2007,4,4,3,24,9*,24.00,20,120.0,0,0,0,2,0,
37,KJ Abbott (SA),2013-2016,21,6,4,23,9*,11.50,20,115.0,0,0,0,2,0,
38,AB Barath (WI),2010-2011,2,2,0,23,15,11.50,39,58.97,0,0,0,3,0,
39,Bilawal Bhatti (PAK),2013-2015,9,4,2,23,13*,11.50,14,164.28,0,0,1,2,1,
40,DL Brangman (BMUDA),2019-2019,5,4,2,23,23*,11.50,25,92.0,0,0,2,2,1,
41,C Floyd (NL),2019-2019,2,2,1,23,21,23.00,23,100.0,0,0,0,2,1,
42,Habib Ahmadzai (Aut),2019-2019,5,3,2,23,15*,23.00,29,79.31,0,0,0,2,1,
43,Hardev Singh (Chile),2019-2019,3,3,0,23,17,7.66,48,47.91,0,0,0,1,0,
44,Imran Anwar (BAH),2019-2019,4,2,1,23,16*,23.00,22,104.54,0,0,0,2,0,
45,RK Inampud (Mex),2019-2019,3,3,2,23,17*,23.00,28,82.14,0,0,0,0,1,
46,B Kumar (INDIA),2012-2019,43,9,5,23,9,5.75,29,79.31,0,0,1,0,0,
47,S Lamichhane (ICC/NEPAL),2018-2019,18,8,4,23,9,5.75,29,79.31,0,0,1,1,0,
48,N Master (Botsw),2019-2019,2,2,0,23,21,11.50,18,127.77,0,0,0,4,0,
49,T Panyangara (ZIM),2013-2016,14,5,4,23,17*,23.00,17,135.29,0,0,0,1,2,
0,VM Sachdev (PNM),2019-2019,2,2,1,23,12*,23.00,31,74.19,0,0,0,2,0,
1,Shafiul Islam (BDESH),2010-2019,17,6,1,23,16,4.60,33,69.69,0,0,1,1,1,
2,S Sohal (USA),2019-2019,3,2,0,23,18,11.50,29,79.31,0,0,0,1,1,
3,A Zampa (AUS),2016-2019,27,6,4,23,9,11.50,26,88.46,0,0,0,2,0,
4,Zulqarnain Haider (PAK),2007-2010,3,3,0,23,17,7.66,30,76.66,0,0,0,1,0,
5,Abdur Rehman (PAK),2007-2013,8,5,3,22,7*,11.00,29,75.86,0,0,0,0,0,
6,DNA Ankrah (Ghana),2019-2019,4,3,0,22,12,7.33,43,51.16,0,0,0,2,0,
7,SE Aquilina (MALTA),2019-2019,4,4,0,22,14,5.50,30,73.33,0,0,0,2,0,
8,Z Arinaitwe (UGA),2019-2019,3,3,0,22,15,7.33,26,84.61,0,0,0,3,1,
9,TA Boult (NZ),2013-2019,27,8,3,22,8,4.40,32,68.75,0,0,1,1,0,
10,PC de Silva (SL),2017-2017,2,2,0,22,21,11.00,22,100.0,0,0,0,1,0,
11,AB Dinda (INDIA),2009-2012,9,2,1,22,19,22.00,24,91.66,0,0,0,1,0,
12,PJ Ingram (NZ),2010-2010,3,3,1,22,20*,11.00,35,62.85,0,0,1,3,0,
13,M Morkel (SA/World),2007-2017,44,8,5,22,8*,7.33,18,122.22,0,0,0,3,1,
14,AK Muslar (Blz),2019-2019,3,3,0,22,13,7.33,27,81.48,0,0,1,1,2,
15,DP Nannes (AUS/NL),2009-2010,17,5,3,22,12*,11.00,18,122.22,0,0,0,1,1,
16,FL Reifer (WI),2009-2009,1,1,0,22,22,22.00,20,110.0,0,0,0,2,1,
17,Umair Ali (UAE),2015-2015,3,3,2,22,13,22.00,18,122.22,0,0,0,2,1,
18,Abdullah Akbarjan (Aut),2019-2019,5,1,0,21,21,21.00,17,123.52,0,0,0,3,0,
19,Anas Khan (HKG),2014-2014,1,1,1,21,21*,-,28,75.0,0,0,0,2,0,
20,SE Bond (NZ),2005-2010,20,8,3,21,8*,4.20,21,100.0,0,0,2,2,0,
21,BB Chari (ZIM),2019-2019,3,3,0,21,19,7.00,31,67.74,0,0,1,4,0,
22,MR Gillespie (NZ),2006-2008,11,6,4,21,7,10.50,29,72.41,0,0,0,0,0,
23,L Gregory (ENG),2019-2019,5,3,0,21,15,7.00,19,110.52,0,0,1,0,2,
24,Imam-ul-Haq (PAK),2019-2019,2,2,0,21,14,10.50,25,84.0,0,0,0,2,0,
25,Kamran Shazad (UAE),2014-2014,3,2,0,21,21,10.50,17,123.52,0,0,1,1,2,
26,Karweng NG (PHI),2019-2019,4,3,0,21,14,7.00,30,70.0,0,0,0,0,1,
27,LD Madushanka (SL),2019-2019,2,2,0,21,20,10.50,26,80.76,0,0,0,1,0,
28,C Mahoney (Peru),2019-2019,3,1,0,21,21,21.00,27,77.77,0,0,0,1,0,
29,AF Milne (NZ),2010-2018,21,8,8,21,10*,-,23,91.3,0,0,0,1,0,
30,Mohammad Sami (PAK),2010-2016,13,4,3,21,8,21.00,30,70.0,0,0,0,2,0,
31,S Murari (CRC),2019-2019,3,3,1,21,16,10.50,20,105.0,0,0,0,2,0,
32,Rony Talukdar (BDESH),2015-2015,1,1,0,21,21,21.00,22,95.45,0,0,0,0,1,
33,Shoaib Akhtar (PAK),2006-2010,15,6,3,21,8*,7.00,16,131.25,0,0,1,2,1,
34,SJS Smith (SCOT),2010-2012,5,4,1,21,9,7.00,40,52.5,0,0,1,1,0,
35,SF Tiai (Samoa),2019-2019,4,3,0,21,11,7.00,22,95.45,0,0,1,2,0,
36,E Ul Haq (NOR),2019-2019,5,5,0,21,10,4.20,36,58.33,0,0,0,2,0,
37,Ainool Haqqiem (MAL),2019-2019,4,2,1,20,12,20.00,20,100.0,0,0,0,1,0,
38,RL Bhudia (KENYA),2007-2007,3,3,1,20,11*,10.00,20,100.0,0,0,1,0,2,
39,KK Flowers (Blz),2019-2019,3,3,1,20,17,10.00,33,60.6,0,0,1,3,0,
40,Z Groenewald (NAM),2019-2019,10,4,1,20,13,6.66,35,57.14,0,0,0,0,0,
41,DL Hemp (BMUDA),2008-2008,2,2,0,20,20,10.00,32,62.5,0,0,1,2,1,
42,Kuldeep Yadav (INDIA),2017-2019,19,2,1,20,16,20.00,20,100.0,0,0,0,2,0,
43,MJ North (AUS),2009-2009,1,1,0,20,20,20.00,21,95.23,0,0,0,1,0,
44,N Pokana (PNG),2016-2019,19,7,5,20,8*,10.00,28,71.42,0,0,0,0,0,
45,JRMVB Sanjaya (SL),2017-2017,8,5,2,20,6,6.66,18,111.11,0,0,0,3,0,
46,JOP Scamans (Fin),2019-2019,2,2,1,20,12*,20.00,19,105.26,0,0,0,1,0,
47,S Sreesanth (INDIA),2006-2008,10,3,2,20,19*,20.00,14,142.85,0,0,1,4,0,
48,A Uniyal (Chile),2019-2019,3,3,1,20,16*,10.00,24,83.33,0,0,0,2,0,
49,C Waiswa (UGA),2019-2019,4,2,1,20,14*,20.00,14,142.85,0,0,0,1,1,
0,Aziz Mohammad (Belg),2019-2019,3,3,1,19,19,9.50,25,76.0,0,0,1,0,2,
1,Bilal Ahmed (Serb),2019-2019,1,1,0,19,19,19.00,28,67.85,0,0,0,1,1,
2,CJ Dala (SA),2018-2019,9,4,3,19,12*,19.00,28,67.85,0,0,0,1,0,
3,Fahad Tariq (UAE),2016-2016,6,5,1,19,16,4.75,24,79.16,0,0,2,1,1,
4,Ibrahim Hassan (Mald),2019-2019,11,7,2,19,12*,3.80,41,46.34,0,0,3,0,0,
5,Imran Haider (ROM),2019-2019,2,2,0,19,15,9.50,26,73.07,0,0,0,2,1,
6,Imran Tahir (SA/World),2013-2019,38,4,3,19,9*,19.00,18,105.55,0,0,0,1,1,
7,Irfan Mir (Chile),2019-2019,4,3,2,19,18*,19.00,7,271.42,0,0,1,0,2,
8,Jaspreet Singh (ITA),2019-2019,5,2,0,19,11,9.50,23,82.6,0,0,0,1,0,
9,Junaid Sheikh (NOR),2019-2019,5,3,0,19,9,6.33,20,95.0,0,0,0,1,1,
10,HGJM Kulatunga (SL),2008-2008,2,2,0,19,11,9.50,38,50.0,0,0,0,0,0,
11,CJ McKay (AUS),2010-2013,6,4,2,19,7,9.50,22,86.36,0,0,1,1,1,
12,Mohammad Ahsan (KUW),2019-2019,6,3,0,19,8,6.33,20,95.0,0,0,0,0,1,
13,Muktar Ali (BDESH),2016-2016,1,1,1,19,19*,-,15,126.66,0,0,0,1,1,
14,SN Netravalkar (USA),2019-2019,8,2,1,19,12,19.00,15,126.66,0,0,0,1,1,
15,HM Nicholls (NZ),2016-2019,5,4,0,19,7,4.75,28,67.85,0,0,0,2,0,
16,AE Paraam (SGP),2019-2019,3,2,1,19,10,19.00,10,190.0,0,0,0,2,1,
17,AM Phangiso (SA),2012-2018,16,3,0,19,13,6.33,29,65.51,0,0,0,1,0,
18,RLB Rambukwella (SL),2013-2016,2,1,0,19,19,19.00,16,118.75,0,0,0,1,1,
19,SV Samson (INDIA),2015-2015,1,1,0,19,19,19.00,24,79.16,0,0,0,1,0,
20,L Shafeeg (Mald),2019-2019,3,1,1,19,19*,-,11,172.72,0,0,0,2,1,
21,Sufyan Mehmood (OMAN),2015-2019,3,2,1,19,13*,19.00,41,46.34,0,0,0,2,0,
22,KOK Williams (WI),2016-2019,24,7,4,19,13*,6.33,17,111.76,0,0,1,1,1,
23,N Yordanov (),2019-2019,2,2,1,19,19*,19.00,11,172.72,0,0,1,0,2,
24,JD Baker (Samoa),2019-2019,4,3,3,18,11*,-,14,128.57,0,0,0,3,0,
25,V Baskaran (SGP),2019-2019,12,5,3,18,14*,9.00,23,78.26,0,0,1,0,0,
26,Bilal Khan (OMAN),2015-2019,32,10,7,18,6*,6.00,28,64.28,0,0,2,1,0,
27,LA Collado (GIBR),2019-2019,4,3,2,18,8,18.00,34,52.94,0,0,0,0,0,
28,LHD Dilhara (SL),2008-2008,2,1,1,18,18*,-,9,200.0,0,0,0,0,1,
29,XJ Doherty (AUS),2012-2013,11,4,3,18,9*,18.00,17,105.88,0,0,0,1,0,
30,BE Hendricks (SA),2014-2019,11,3,1,18,12*,9.00,21,85.71,0,0,0,0,1,
31,Khurram Chohan (CAN),2010-2010,4,4,2,18,8,9.00,14,128.57,0,0,0,1,1,
32,JB Little (IRE),2016-2019,11,6,2,18,7,4.50,16,112.5,0,0,2,3,0,
33,AK Markram (SA),2019-2019,2,2,0,18,15,9.00,17,105.88,0,0,0,1,1,
34,SW Masakadza (ZIM),2010-2013,7,5,1,18,9,4.50,24,75.0,0,0,1,1,0,
35,Nauman Anwar (PAK),2015-2015,1,1,0,18,18,18.00,10,180.0,0,0,0,2,1,
36,Naved-ul-Hasan (PAK),2006-2010,4,2,1,18,17*,18.00,16,112.5,0,0,0,0,2,
37,Nazmul Islam (BDESH),2018-2018,13,4,3,18,7,18.00,17,105.88,0,0,0,2,0,
38,D Nikolov (),2019-2019,3,2,0,18,13,9.00,33,54.54,0,0,0,2,0,
39,Raza Hasan (PAK),2012-2014,10,4,4,18,13*,-,25,72.0,0,0,0,2,0,
40,PADLR Sandakan (SL),2017-2019,14,4,2,18,10,9.00,24,75.0,0,0,0,2,0,
41,S Snater (NL),2018-2019,13,6,1,18,10,3.60,16,112.5,0,0,2,0,1,
42,S Thuraisingam (CAN),2008-2008,3,2,1,18,15,18.00,24,75.0,0,0,0,1,0,
43,JW Wilson (NZ),2005-2005,1,1,0,18,18,18.00,14,128.57,0,0,0,2,0,
44,HN Ya France (NAM),2019-2019,6,3,0,18,13,6.00,20,90.0,0,0,1,1,1,
45,TL Best (WI),2013-2014,6,1,1,17,17*,-,9,188.88,0,0,0,0,2,
46,D Bishoo (WI),2011-2019,7,4,2,17,8,8.50,29,58.62,0,0,1,2,0,
47,TA Blundell (NZ),2017-2018,3,2,1,17,14,17.00,21,80.95,0,0,0,0,0,
48,LA Dawson (ENG),2016-2018,6,2,1,17,10,17.00,8,212.5,0,0,0,2,1,
49,RR Emrit (WI),2018-2018,4,3,0,17,11,5.66,27,62.96,0,0,0,0,1,
0,D Gim (NGA),2019-2019,6,4,2,17,9*,8.50,32,53.12,0,0,1,0,0,
1,S Kizilkaya (TKY),2019-2019,4,4,0,17,8,4.25,28,60.71,0,0,1,3,0,
2,L Louwrens (NAM),2019-2019,1,1,1,17,17*,-,15,113.33,0,0,0,1,1,
3,JH Mensah (Ghana),2019-2019,2,2,0,17,16,8.50,10,170.0,0,0,0,1,1,
4,LN Onyango (KENYA),2007-2010,5,4,2,17,5,8.50,21,80.95,0,0,0,0,0,
5,TK Patel (USA),2019-2019,7,3,3,17,14*,-,18,94.44,0,0,0,1,0,
6,K Pierre (WI),2018-2019,8,4,2,17,9*,8.50,23,73.91,0,0,0,2,0,
7,Rubel Hossain (BDESH),2009-2018,27,14,9,17,8*,3.40,30,56.66,0,0,4,1,0,
8,GR Russ (PHI),2019-2019,3,2,1,17,10,17.00,29,58.62,0,0,0,0,0,
9,SE Rutherford (WI),2018-2019,3,3,0,17,9,5.66,23,73.91,0,0,0,1,0,
10,Shafraz Jaleel (Mald),2019-2019,4,3,0,17,17,5.66,14,121.42,0,0,2,1,1,
11,JR Singleton (),2019-2019,3,3,0,17,7,5.66,26,65.38,0,0,0,3,0,
12,T Singye (BHU),2019-2019,2,2,0,17,11,8.50,25,68.0,0,0,0,2,0,
13,OR Willis (Caym),2019-2019,3,3,0,17,15,5.66,32,53.12,0,0,0,0,1,
14,Zain ul Tashnam (CRC),2019-2019,3,2,1,17,11,17.00,26,65.38,0,0,0,1,0,
15,IKO Aboagye (Ghana),2019-2019,4,4,0,16,7,4.00,37,43.24,0,0,1,0,0,
16,A Ahmadhel (),2019-2019,3,2,0,16,15,8.00,16,100.0,0,0,0,2,0,
17,P Arrighi (Arg),2019-2019,5,4,0,16,11,4.00,46,34.78,0,0,1,0,0,
18,J Barker (LUX),2019-2019,4,2,0,16,16,8.00,16,100.0,0,0,1,3,0,
19,KK Bishnoi (),2019-2019,3,2,1,16,14,16.00,18,88.88,0,0,0,1,0,
20,M Chauhan (Fin),2019-2019,2,2,0,16,15,8.00,8,200.0,0,0,0,0,2,
21,U Dorji (BHU),2019-2019,2,2,0,16,8,8.00,17,94.11,0,0,0,2,0,
22,CJ Ferguson (AUS),2009-2009,3,3,0,16,8,5.33,19,84.21,0,0,1,1,0,
23,LF Goncalves (),2019-2019,3,2,0,16,13,8.00,21,76.19,0,0,0,1,0,
24,EH Hutchinson (USA),2019-2019,2,1,0,16,16,16.00,8,200.0,0,0,0,3,0,
25,LS Livingstone (ENG),2017-2017,2,2,0,16,16,8.00,19,84.21,0,0,1,1,0,
26,Mehrab Hossain jnr (BDESH),2008-2009,2,2,1,16,10,16.00,25,64.0,0,0,0,1,0,
27,K Modise (Botsw),2019-2019,3,3,0,16,10,5.33,16,100.0,0,0,1,2,1,
28,Najmul Hossain Shanto (BDESH),2019-2019,2,2,0,16,11,8.00,17,94.11,0,0,0,1,0,
29,F Nsubuga (UGA),2019-2019,3,3,1,16,9,8.00,15,106.66,0,0,0,0,2,
30,JB Reva (PNG),2015-2019,9,4,0,16,7,4.00,22,72.72,0,0,0,1,1,
31,BJ Rohrer (AUS),2013-2013,1,1,0,16,16,16.00,14,114.28,0,0,0,0,1,
32,EHSN Silva (UAE),2014-2014,2,2,1,16,13*,16.00,22,72.72,0,0,0,1,0,
33,DW Steyn (SA),2007-2019,44,10,5,16,5,3.20,23,69.56,0,0,1,1,0,
34,Aamer Yamin (PAK),2015-2018,2,1,1,15,15*,-,6,250.0,0,0,0,1,1,
35,AB Agarkar (INDIA),2006-2007,4,2,0,15,14,7.50,11,136.36,0,0,0,2,0,
36,Anowarul Islam (THAI),2019-2019,4,4,0,15,9,3.75,20,75.0,0,0,1,1,1,
37,NW Bracken (AUS),2006-2009,19,6,3,15,4*,5.00,22,68.18,0,0,1,1,0,
38,TL Chatara (ZIM),2010-2019,21,3,0,15,8,5.00,18,83.33,0,0,1,1,0,
39,K Christie (HKG),2019-2019,11,4,2,15,11*,7.50,20,75.0,0,0,0,0,0,
40,GL Cloete (SA),2018-2019,2,2,0,15,13,7.50,15,100.0,0,0,0,2,0,
41,SS Cottrell (WI),2014-2019,22,7,4,15,4*,5.00,22,68.18,0,0,1,2,0,
42,N Dutta (CAN),2019-2019,11,3,2,15,12,15.00,13,115.38,0,0,0,1,0,
43,KR Ebanks (Caym),2019-2019,5,4,0,15,8,3.75,27,55.55,0,0,1,1,0,
44,J Hill (PHI),2019-2019,4,3,0,15,6,5.00,20,75.0,0,0,0,3,0,
45,E Katchay (CAN),2008-2008,4,3,2,15,8*,15.00,25,60.0,0,0,1,0,0,
46,AC Kose (TKY),2019-2019,4,4,0,15,15,3.75,33,45.45,0,0,3,3,0,
47,Nasrulla Rana (HKG),2019-2019,8,4,2,15,7,7.50,24,62.5,0,0,1,0,0,
48,RN Patel (KENYA),2019-2019,2,2,1,15,15*,15.00,25,60.0,0,0,1,1,0,
49,LA Pomersbach (AUS),2007-2007,1,1,0,15,15,15.00,7,214.28,0,0,0,1,1,
0,RW Price (ZIM),2008-2012,16,9,4,15,7*,3.00,28,53.57,0,0,1,1,0,
1,Shabir Noori (AFG),2012-2012,1,1,0,15,15,15.00,18,83.33,0,0,0,1,0,
2,J Smits (NL),2008-2009,6,2,1,15,11*,15.00,27,55.55,0,0,0,0,0,
3,AO Suji (KENYA),2007-2010,8,5,2,15,7,5.00,29,51.72,0,0,0,0,0,
4,MK Tiwary (INDIA),2011-2012,3,1,0,15,15,15.00,17,88.23,0,0,0,0,0,
5,Usama Master (MWI),2019-2019,6,2,0,15,15,7.50,13,115.38,0,0,1,1,0,
6,JDF Vandersay (SL),2015-2019,10,7,6,15,8*,15.00,17,88.23,0,0,0,2,0,
7,VB van Jaarsveld (SA),2009-2009,3,3,0,15,12,5.00,23,65.21,0,0,1,0,0,
8,Vikramjit Singh (NL),2019-2019,1,1,0,15,15,15.00,13,115.38,0,0,0,1,0,
9,Abul Hasan (BDESH),2012-2018,5,2,0,14,9,7.00,11,127.27,0,0,0,2,0,
10,CM Akachukwu (NGA),2019-2019,8,5,3,14,8,7.00,15,93.33,0,0,0,0,1,
11,Aminul Islam (BDESH),2019-2019,4,3,2,14,9,14.00,14,100.0,0,0,0,2,0,
12,Aqib Iqbal (Aut),2019-2019,5,1,0,14,14,14.00,6,233.33,0,0,0,0,1,
13,SG Borthwick (ENG),2011-2011,1,1,0,14,14,14.00,16,87.5,0,0,0,2,0,
14,G Dutta (Mex),2019-2019,7,6,0,14,8,2.33,28,50.0,0,0,3,1,0,
15,ST Finn (ENG),2011-2015,21,3,3,14,8*,-,19,73.68,0,0,0,1,0,
16,Ibrahim Zadran (AFG),2019-2019,3,3,0,14,11,4.66,26,53.84,0,0,0,0,1,
17,P Jayeshbhai Patel (PNM),2019-2019,2,2,1,14,8*,14.00,11,127.27,0,0,0,0,0,
18,T Langa (VAN),2019-2019,1,1,0,14,14,14.00,9,155.55,0,0,0,2,0,
19,JAH Marshall (NZ),2005-2008,3,2,0,14,13,7.00,15,93.33,0,0,0,2,0,
20,JWN Moses (Botsw),2019-2019,3,3,0,14,9,4.66,20,70.0,0,0,0,0,1,
21,N Nankov (),2019-2019,3,2,1,14,14,14.00,20,70.0,0,0,0,1,0,
22,AN Petersen (SA),2010-2010,2,2,0,14,8,7.00,19,73.68,0,0,0,1,0,
23,VD Philander (SA),2007-2007,7,4,0,14,6,3.50,28,50.0,0,0,0,0,0,
24,S Pillai (CRC),2019-2019,3,3,0,14,6,4.66,27,51.85,0,0,0,1,0,
25,C Prasad (CRC),2019-2019,3,3,1,14,11,7.00,29,48.27,0,0,1,1,0,
26,Rakibul Hasan (ITA),2019-2019,8,4,1,14,5*,4.66,17,82.35,0,0,1,1,0,
27,Ravinder Singh (MALTA),2019-2019,2,2,0,14,8,7.00,13,107.69,0,0,0,0,1,
28,Saqlain Haider (UAE),2016-2016,6,5,1,14,7,3.50,35,40.0,0,0,0,0,0,
29,Shahzad Muhammad (Mex),2019-2019,2,1,0,14,14,14.00,7,200.0,0,0,0,1,1,
30,S Smith (BMUDA),2019-2019,5,3,3,14,7*,-,27,51.85,0,0,0,0,0,
31,S Varathappan (KUW),2019-2019,3,3,0,14,9,4.66,14,100.0,0,0,1,3,0,
32,VS Wategaonkar (OMAN),2016-2016,2,1,0,14,14,14.00,14,100.0,0,0,0,1,0,
33,T Whiteman (LUX),2019-2019,4,2,1,14,14*,14.00,10,140.0,0,0,1,0,1,
34,CM Wright (SCOT),2007-2009,3,1,0,14,14,14.00,18,77.77,0,0,0,0,0,
35,Abdullah Sheikh (NOR),2019-2019,2,2,0,13,11,6.50,18,72.22,0,0,0,1,0,
36,AR Adams (NZ),2005-2006,4,2,1,13,7,13.00,12,108.33,0,0,0,1,0,
37,M Cope (LUX),2019-2019,2,2,1,13,13,13.00,15,86.66,0,0,0,2,0,
38,J Edness (BMUDA),2008-2008,3,3,0,13,9,4.33,28,46.42,0,0,1,0,0,
39,JA Fitzgerald (GIBR),2019-2019,4,2,2,13,11*,-,10,130.0,0,0,0,0,1,
40,CR Foggo (BMUDA),2008-2008,3,3,0,13,7,4.33,17,76.47,0,0,1,2,0,
41,SP Gauchan (NEPAL),2014-2015,9,5,2,13,6*,4.33,43,30.23,0,0,2,0,0,
42,PA Hitchcock (NZ),2008-2008,1,1,0,13,13,13.00,11,118.18,0,0,0,1,1,
43,SHT Kandamby (SL),2008-2011,5,4,0,13,10,3.25,21,61.9,0,0,1,0,0,
44,SKW Kelly (BMUDA),2008-2008,3,2,2,13,11*,-,24,54.16,0,0,0,0,0,
45,Z Khan (INDIA),2006-2012,17,4,2,13,9,6.50,10,130.0,0,0,0,0,1,
46,Lucky Ali (DEN),2019-2019,2,2,0,13,7,6.50,18,72.22,0,0,0,1,0,
47,JL Martel (GUE),2019-2019,3,1,1,13,13*,-,6,216.66,0,0,0,1,1,
48,J Mees (LUX),2019-2019,3,3,2,13,7*,13.00,20,65.0,0,0,0,1,0,
49,Mohammad Nawaz (3) (PAK),2016-2018,16,2,0,13,7,6.50,20,65.0,0,0,0,1,0,
0,Mohammad Rafique (BDESH),2006-2006,1,1,0,13,13,13.00,5,260.0,0,0,0,3,0,
1,Muhammad Hamayun (Saudi),2019-2019,4,2,0,13,8,6.50,10,130.0,0,0,0,1,1,
2,HC Overdijk (NL),2018-2019,4,1,0,13,13,13.00,7,185.71,0,0,0,2,0,
3,CMW Read (ENG),2006-2006,1,1,0,13,13,13.00,11,118.18,0,0,0,2,0,
4,JA Richardson (AUS),2017-2019,9,3,2,13,7*,13.00,6,216.66,0,0,1,2,0,
5,OFJ Tonuu (Samoa),2019-2019,4,3,1,13,6*,6.50,18,72.22,0,0,0,0,0,
6,Usman Mushtaq (UAE),2016-2016,3,2,1,13,9,13.00,24,54.16,0,0,0,1,0,
7,Washeem Abbas (MALTA),2019-2019,2,2,1,13,9*,13.00,7,185.71,0,0,0,0,1,
8,J Anderson (IRE),2015-2015,4,2,0,12,9,6.00,18,66.66,0,0,0,1,0,
9,Arslan Ahmed (PORT),2019-2019,3,3,0,12,11,4.00,32,37.5,0,0,1,1,0,
10,Asad Mohammad (GER),2019-2019,9,4,1,12,5,4.00,12,100.0,0,0,0,2,0,
11,Avi Dixit (SGP),2019-2019,1,1,1,12,12*,-,8,150.0,0,0,0,0,1,
12,HMCM Bandara (SL),2006-2009,4,3,1,12,7,6.00,15,80.0,0,0,0,0,0,
13,Fazal Niazai (AFG),2019-2019,1,1,0,12,12,12.00,15,80.0,0,0,0,1,0,
14,CJ Gannon (USA),2019-2019,4,3,2,12,7*,12.00,9,133.33,0,0,0,0,1,
15,R Gaznavi (SGP),2019-2019,2,2,0,12,8,6.00,12,100.0,0,0,0,2,0,
16,H Helva (TKY),2019-2019,4,4,0,12,7,3.00,25,48.0,0,0,2,2,0,
17,HJH Marshall (NZ),2005-2006,3,3,0,12,8,4.00,14,85.71,0,0,0,0,0,
18,D Mejia (CRC),2019-2019,3,1,0,12,12,12.00,10,120.0,0,0,0,2,0,
19,NV Ojha (INDIA),2010-2010,2,2,0,12,10,6.00,27,44.44,0,0,0,2,0,
20,A Patel (MWI),2019-2019,2,2,1,12,6*,12.00,23,52.17,0,0,0,2,0,
21,M Patel (Chile),2019-2019,3,3,0,12,8,4.00,15,80.0,0,0,1,1,1,
22,KOA Powell (WI),2014-2014,1,1,0,12,12,12.00,14,85.71,0,0,0,1,0,
23,Raag Kapur (HKG),2019-2019,4,3,1,12,6,6.00,16,75.0,0,0,0,1,0,
24,R Rampaul (WI),2007-2015,23,6,5,12,8,12.00,21,57.14,0,0,0,0,0,
25,MA Starc (AUS),2012-2019,28,6,2,12,4,3.00,18,66.66,0,0,0,0,0,
26,Ali Ivan (Mald),2019-2019,1,1,0,11,11,11.00,39,28.2,0,0,0,0,0,
27,Apon Mustafizur (Serb),2019-2019,2,2,0,11,11,5.50,28,39.28,0,0,1,2,0,
28,Atif Kamal (LUX),2019-2019,4,3,0,11,11,3.66,18,61.11,0,0,2,1,0,
29,A Bulow (DEN),2019-2019,2,1,0,11,11,11.00,13,84.61,0,0,0,0,1,
30,JD Campbell (WI),2019-2019,2,2,0,11,11,5.50,16,68.75,0,0,1,2,0,
31,A Djorovic (Serb),2019-2019,2,2,0,11,9,5.50,26,42.3,0,0,0,1,0,
32,Fayyaz Ahmed (UAE),2015-2015,1,1,0,11,11,11.00,12,91.66,0,0,0,2,0,
33,S Goustis (),2019-2019,3,1,0,11,11,11.00,19,57.89,0,0,0,0,0,
34,AJ Hall (SA),2006-2006,2,1,0,11,11,11.00,10,110.0,0,0,0,1,0,
35,Inzamam-ul-Haq (PAK),2006-2006,1,1,1,11,11*,-,15,73.33,0,0,0,0,1,
36,Khurram Manzoor (PAK),2016-2016,3,3,0,11,10,3.66,27,40.74,0,0,1,1,0,
37,KS Lokuarachchi (SL),2012-2012,2,2,0,11,11,5.50,13,84.61,0,0,1,1,0,
38,WK McCallan (IRE),2008-2009,9,3,2,11,9*,11.00,15,73.33,0,0,1,1,0,
39,OC McCoy (WI),2019-2019,2,2,1,11,10,11.00,10,110.0,0,0,0,1,1,
40,Mahedi Hasan (BDESH),2018-2018,1,1,0,11,11,11.00,11,100.0,0,0,0,1,0,
41,WJ Malinda (Mald),2019-2019,3,2,1,11,10*,11.00,9,122.22,0,0,0,0,1,
42,AK Mandal (NEPAL),2015-2015,2,2,0,11,9,5.50,25,44.0,0,0,0,0,0,
43,D Marks (MALTA),2019-2019,2,2,2,11,6*,-,12,91.66,0,0,0,0,0,
44,BJ McCarthy (IRE),2017-2018,6,3,1,11,11*,5.50,7,157.14,0,0,2,0,1,
45,AA Mulla (CAN),2008-2008,4,4,0,11,8,2.75,19,57.89,0,0,1,2,0,
46,J Reb (Serb),2019-2019,2,2,0,11,9,5.50,14,78.57,0,0,0,1,0,
47,Saqlain Arshad (QAT),2019-2019,2,1,0,11,11,11.00,10,110.0,0,0,0,0,1,
48,V Shetty (UAE),2014-2014,2,2,1,11,10,11.00,13,84.61,0,0,0,1,0,
49,Suresh Kumar (Peru),2019-2019,2,2,1,11,10*,11.00,15,73.33,0,0,0,0,0,
0,SW Tait (AUS),2007-2016,21,6,2,11,6,2.75,15,73.33,0,0,1,0,1,
1,P Taylor (CZK-R),2019-2019,7,2,1,11,7*,11.00,9,122.22,0,0,0,1,0,
2,H Thaker (CAN),2019-2019,1,1,0,11,11,11.00,9,122.22,0,0,0,0,1,
3,TCW Veillard (GUE),2019-2019,4,2,1,11,8,11.00,17,64.7,0,0,0,0,0,
