,Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Unnamed: 14
11,JN Gillespie (AUS),2005-2005,1,1,4.0,0,49,1,1/49,49.0,12.25,24.0,0,0,
12,NA Greenwood (JER),2019-2019,8,2,2.0,0,14,1,1/4,14.0,7.0,12.0,0,0,
13,L Gregory (ENG),2019-2019,5,2,4.0,0,29,1,1/10,29.0,7.25,24.0,0,0,
14,Hardev Singh (Chile),2019-2019,3,1,1.0,0,12,1,1/12,12.0,12.0,6.0,0,0,
15,SJ Harmison (ENG),2005-2006,2,2,6.3,0,42,1,1/13,42.0,6.46,39.0,0,0,
16,Haroon Arshad (HKG),2019-2019,10,8,13.5,0,108,1,1/4,108.0,7.8,83.0,0,0,
17,Haroon Mughal (MALTA),2019-2019,4,2,3.0,0,31,1,1/17,31.0,10.33,18.0,0,0,
18,TM Head (AUS),2016-2018,16,3,4.0,0,39,1,1/16,39.0,9.75,24.0,0,0,
19,R Hekure (PNG),2019-2019,8,6,4.5,0,37,1,1/6,37.0,7.65,29.0,0,0,
20,BJ Hodge (AUS),2007-2014,15,3,5.0,0,43,1,1/13,43.0,8.6,30.0,0,0,
21,S Hongsi (THAI),2019-2019,3,2,3.0,0,35,1,1/15,35.0,11.66,18.0,0,0,
22,A Husain (Arg),2019-2019,5,4,10.0,0,51,1,1/6,51.0,5.1,60.0,0,0,
23,GM Hyde (Blz),2019-2019,3,2,5.0,0,43,1,1/14,43.0,8.6,30.0,0,0,
24,Ibrahim Rizan (Mald),2019-2019,5,4,8.1,0,63,1,1/22,63.0,7.71,49.0,0,0,
25,Iftikhar Anjum (PAK),2007-2009,2,2,8.0,0,67,1,1/34,67.0,8.37,48.0,0,0,
26,AJ Ireland (ZIM),2006-2006,1,1,3.0,0,33,1,1/33,33.0,11.0,18.0,0,0,
27,Irfan Mir (Chile),2019-2019,4,4,15.0,0,73,1,1/26,73.0,4.86,90.0,0,0,
28,E Isaneez (UGA),2019-2019,3,3,9.2,0,53,1,1/16,53.0,5.67,56.0,0,0,
29,Ismat Ullah (),2019-2019,4,2,4.0,0,16,1,1/9,16.0,4.0,24.0,0,0,
30,Jaspreet Singh (ITA),2019-2019,5,2,5.0,0,53,1,1/26,53.0,10.6,30.0,0,0,
31,D Kansonkho (MWI),2019-2019,7,3,7.3,0,60,1,1/15,60.0,8.0,45.0,0,0,
32,A Karn (NEPAL),2015-2015,2,2,8.0,0,49,1,1/31,49.0,6.12,48.0,0,0,
33,N Khanna (MALTA),2019-2019,2,2,4.0,0,47,1,1/26,47.0,11.75,24.0,0,0,
34,B Khumalo (Botsw),2019-2019,3,3,11.0,0,96,1,1/23,96.0,8.72,66.0,0,0,
35,Khurram Chohan (CAN),2010-2010,4,4,12.1,0,106,1,1/24,106.0,8.71,73.0,0,0,
36,Khurram Khan (UAE),2014-2014,3,1,1.0,0,8,1,1/8,8.0,8.0,6.0,0,0,
37,JH Kiani (PHI),2019-2019,4,1,4.0,0,26,1,1/26,26.0,6.5,24.0,0,0,
38,H Lakov (),2019-2019,3,3,12.0,1,72,1,1/23,72.0,6.0,72.0,0,0,
39,CA Liyanage (Mald),2019-2019,2,2,5.0,0,47,1,1/33,47.0,9.4,30.0,0,0,
40,J Long (PHI),2019-2019,2,1,2.0,0,26,1,1/26,26.0,13.0,12.0,0,0,
41,NM Lyon (AUS),2016-2018,2,2,5.0,0,48,1,1/33,48.0,9.6,30.0,0,0,
42,RT Lyons (SCOT),2010-2010,2,2,6.0,0,40,1,1/26,40.0,6.66,36.0,0,0,
43,OC McCoy (WI),2019-2019,2,1,3.0,0,44,1,1/44,44.0,14.66,18.0,0,0,
44,Mahmad Data (PNM),2019-2019,2,2,5.0,0,31,1,1/15,31.0,6.2,30.0,0,0,
45,A Makesh (KUW),2019-2019,4,4,9.0,1,79,1,1/19,79.0,8.77,54.0,0,0,
46,DJ Malan (ENG),2017-2019,9,1,2.0,0,27,1,1/27,27.0,13.5,12.0,0,0,
47,WJ Malinda (Mald),2019-2019,3,1,4.0,0,27,1,1/27,27.0,6.75,24.0,0,0,
48,OM Marshall (Peru),2019-2019,3,2,3.0,0,22,1,1/10,22.0,7.33,18.0,0,0,
49,A Martin (WI),2011-2011,1,1,3.0,0,20,1,1/20,20.0,6.66,18.0,0,0,
0,T Maruma (ZIM),2008-2019,13,2,3.0,0,20,1,1/8,20.0,6.66,18.0,0,0,
1,WT Mashinge (ZIM),2019-2019,2,2,5.0,0,57,1,1/37,57.0,11.4,30.0,0,0,
2,N Master (Botsw),2019-2019,2,1,4.0,0,30,1,1/30,30.0,7.5,24.0,0,0,
3,Md Shafiqul Haque (THAI),2019-2019,4,1,3.0,0,25,1,1/25,25.0,8.33,18.0,0,0,
4,DP Michael (Samoa),2019-2019,4,1,3.0,0,32,1,1/32,32.0,10.66,18.0,0,0,
5,SF Mire (ZIM),2018-2019,9,5,12.0,0,115,1,1/15,115.0,9.58,72.0,0,0,
6,Mohammad Boota (UAE),2019-2019,16,1,1.0,0,13,1,1/13,13.0,13.0,6.0,0,0,
7,Mohammad Rafique (BDESH),2006-2006,1,1,4.0,0,22,1,1/22,22.0,5.5,24.0,0,0,
8,Mohammad Shahid (BDESH),2016-2016,1,1,3.0,0,32,1,1/32,32.0,10.66,18.0,0,0,
9,MR Montfort (CAN),2019-2019,1,1,3.0,0,25,1,1/25,25.0,8.33,18.0,0,0,
10,J Mubarak (SL),2007-2009,16,2,1.2,0,17,1,1/9,17.0,12.75,8.0,0,0,
11,Muhammad Tanveer (QAT),2019-2019,15,3,8.0,0,63,1,1/29,63.0,7.87,48.0,0,0,
12,D Muhumuza (UGA),2019-2019,4,3,5.0,0,35,1,1/15,35.0,7.0,30.0,0,0,
13,EMDY Munaweera (SL),2012-2017,13,5,10.0,0,92,1,1/26,92.0,9.2,60.0,0,0,
14,T Mupariwa (ZIM),2007-2008,4,4,13.0,0,94,1,1/22,94.0,7.23,78.0,0,0,
15,Murid Ekrami (Belg),2019-2019,3,3,5.0,0,37,1,1/10,37.0,7.4,30.0,0,0,
16,Najeeb Amar (HKG),2014-2014,1,1,3.0,0,29,1,1/29,29.0,9.66,18.0,0,0,
17,NH Naureen (ESP),2019-2019,1,1,3.0,1,32,1,1/32,32.0,10.66,18.0,0,0,
18,Naveed Ahmed (CZK-R),2019-2019,7,5,9.0,0,56,1,1/15,56.0,6.22,54.0,0,0,
19,Nazakat Ali (NOR),2019-2019,2,2,3.0,0,16,1,1/6,16.0,5.33,18.0,0,0,
20,Nazmul Hossain (BDESH),2009-2012,4,4,7.0,0,67,1,1/15,67.0,9.57,42.0,0,0,
21,A Ndlovu (ZIM),2019-2019,3,3,11.0,0,90,1,1/35,90.0,8.18,66.0,0,0,
22,R Neale (LUX),2019-2019,3,1,3.0,0,30,1,1/30,30.0,10.0,18.0,0,0,
23,P Negi (INDIA),2016-2016,1,1,3.0,0,16,1,1/16,16.0,5.33,18.0,0,0,
24,D Nikolov (),2019-2019,3,2,4.0,0,36,1,1/22,36.0,9.0,24.0,0,0,
25,K Nima (BHU),2019-2019,1,1,3.0,0,22,1,1/22,22.0,7.33,18.0,0,0,
26,Noman Kamawi (Belg),2019-2019,1,1,3.0,0,28,1,1/28,28.0,9.33,18.0,0,0,
27,L Nou (PNG),2015-2015,3,3,10.0,0,65,1,1/24,65.0,6.5,60.0,0,0,
28,E Ochieng (KENYA),2019-2019,2,2,4.0,0,30,1,1/18,30.0,7.5,24.0,0,0,
29,JL Ontong (SA),2008-2015,14,4,6.0,0,83,1,1/25,83.0,13.83,36.0,0,0,
30,AM Oyede (NGA),2019-2019,8,3,8.0,0,44,1,1/14,44.0,5.5,48.0,0,0,
31,RJG Palmer (JER),2019-2019,2,2,4.0,0,27,1,1/10,27.0,6.75,24.0,0,0,
32,MA Parker (SCOT),2012-2012,2,2,6.0,0,61,1,1/36,61.0,10.16,36.0,0,0,
33,Parvez Rasool (INDIA),2017-2017,1,1,4.0,0,32,1,1/32,32.0,8.0,24.0,0,0,
34,AY Patel (NZ),2018-2018,2,2,6.0,0,45,1,1/27,45.0,7.5,36.0,0,0,
35,KP Pietersen (ENG),2005-2013,37,3,5.0,0,53,1,1/27,53.0,10.6,30.0,0,0,
36,JE Pitcher (BMUDA),2019-2019,3,3,7.0,0,50,1,1/26,50.0,7.14,42.0,0,0,
37,S Pokhriyal (CZK-R),2019-2019,5,1,2.0,0,22,1,1/22,22.0,11.0,12.0,0,0,
38,M Pushpakumara (SL),2009-2009,1,1,3.0,0,27,1,1/27,27.0,9.0,18.0,0,0,
39,Qasim Zia (BAH),2019-2019,3,3,9.0,0,68,1,1/17,68.0,7.55,54.0,0,0,
40,Raag Kapur (HKG),2019-2019,4,3,7.0,0,49,1,1/26,49.0,7.0,42.0,0,0,
41,RLB Rambukwella (SL),2013-2016,2,2,6.3,0,46,1,1/19,46.0,7.07,39.0,0,0,
42,Ravinder Singh (MALTA),2019-2019,2,2,6.0,0,72,1,1/36,72.0,12.0,36.0,0,0,
43,J Reb (Serb),2019-2019,2,1,3.0,0,40,1,1/40,40.0,13.33,18.0,0,0,
44,GA Reynold (Blz),2019-2019,3,3,8.0,1,49,1,1/17,49.0,6.12,48.0,0,0,
45,Riazat Ali Shah (UGA),2019-2019,4,3,7.4,0,58,1,1/20,58.0,7.56,46.0,0,0,
46,R Rivas (Chile),2019-2019,3,1,4.0,0,45,1,1/45,45.0,11.25,24.0,0,0,
47,Saber Zakhil (Belg),2019-2019,3,3,9.0,0,69,1,1/23,69.0,7.66,54.0,0,0,
48,S Saeed (Mald),2019-2019,5,5,11.0,0,95,1,1/24,95.0,8.63,66.0,0,0,
49,AM Samad (CAN),2008-2010,7,1,2.0,0,36,1,1/36,36.0,18.0,12.0,0,0,
0,Sandeep Sharma (INDIA),2015-2015,2,2,7.0,0,73,1,1/39,73.00,10.42,42.0,0,0,
1,I Sawmy (DEN),2019-2019,2,1,3.0,0,12,1,1/12,12.00,4.0,18.0,0,0,
2,Shahzad Muhammad (Mex),2019-2019,2,1,3.0,0,29,1,1/29,29.00,9.66,18.0,0,0,
3,Shaikh Ashraf (Peru),2019-2019,4,2,4.0,0,34,1,1/18,34.00,8.5,24.0,0,0,
4,KV Sharma (INDIA),2014-2014,1,1,4.0,0,28,1,1/28,28.00,7.0,24.0,0,0,
5,RG Sharma (INDIA),2007-2019,104,9,11.2,0,113,1,1/22,113.00,9.97,68.0,0,0,
6,ZK Shem (VAN),2019-2019,5,3,6.0,0,72,1,1/36,72.00,12.0,36.0,0,0,
7,LPC Silva (SL),2006-2011,16,2,3.0,0,15,1,1/4,15.00,5.0,18.0,0,0,
8,BA Simango (Moz),2019-2019,2,1,3.0,0,21,1,1/21,21.00,7.0,18.0,0,0,
9,T Singye (BHU),2019-2019,2,2,6.0,0,65,1,1/53,65.00,10.83,36.0,0,0,
10,J Singye (BHU),2019-2019,2,2,8.0,0,69,1,1/28,69.00,8.62,48.0,0,0,
11,JT Smuts (SA),2017-2018,8,6,12.4,0,101,1,1/19,101.00,7.97,76.0,0,0,
12,Sufyan Mehmood (OMAN),2015-2019,3,3,5.3,0,39,1,1/22,39.00,7.09,33.0,0,0,
13,Suhrid Roy (MALTA),2019-2019,1,1,4.0,0,44,1,1/44,44.00,11.0,24.0,0,0,
14,CR Suryawanshi (SGP),2019-2019,3,1,2.0,0,13,1,1/13,13.00,6.5,12.0,0,0,
15,Tafseer Ali (NOR),2019-2019,5,3,4.0,0,37,1,1/17,37.00,9.25,24.0,0,0,
16,Taijul Islam (BDESH),2019-2019,2,2,7.0,0,58,1,1/26,58.00,8.28,42.0,0,0,
17,Tanvir Ahmed (PAK),2010-2010,1,1,3.0,0,13,1,1/13,13.00,4.33,18.0,0,0,
18,BRM Taylor (ZIM),2006-2019,38,2,5.0,0,17,1,1/16,17.00,3.4,30.0,0,0,
19,SR Tendulkar (INDIA),2006-2006,1,1,2.3,0,12,1,1/12,12.00,4.8,15.0,0,0,
20,EP Thompson (NZ),2008-2008,1,1,3.0,1,18,1,1/18,18.00,6.0,18.0,0,0,
21,GC Tonge (WI),2009-2009,1,1,4.0,0,25,1,1/25,25.00,6.25,24.0,0,0,
22,JJ Tucker (BMUDA),2019-2019,5,4,7.0,0,62,1,1/16,62.00,8.85,42.0,0,0,
23,Umair Ali (UAE),2015-2015,3,2,4.0,0,28,1,1/13,28.00,7.0,24.0,0,0,
24,DLS van Bunge (NL),2008-2013,14,2,2.2,0,15,1,1/14,15.00,6.42,14.0,0,0,
25,C Vorster (GUE),2019-2019,1,1,3.0,0,32,1,1/32,32.00,10.66,18.0,0,0,
26,Walid Ghauri (NOR),2019-2019,4,2,3.5,0,31,1,1/16,31.00,8.08,23.0,0,0,
27,Washeem Abbas (MALTA),2019-2019,2,2,8.0,0,70,1,1/31,70.00,8.75,48.0,0,0,
28,UWMBCA Welegedara (SL),2010-2010,2,2,6.0,0,61,1,1/21,61.00,10.16,36.0,0,0,
29,CL White (AUS),2007-2014,47,5,7.0,0,51,1,1/11,51.00,7.28,42.0,0,0,
30,T Whiteman (LUX),2019-2019,4,2,3.4,0,38,1,1/24,38.00,10.36,22.0,0,0,
31,JD Wildermuth (AUS),2018-2018,2,2,3.0,0,32,1,1/16,32.00,10.66,18.0,0,0,
32,LJ Woodcock (NZ),2010-2011,3,3,10.0,0,70,1,1/30,70.00,7.0,60.0,0,0,
33,GH Worker (NZ),2015-2015,2,1,2.0,0,19,1,1/19,19.00,9.5,12.0,0,0,
34,Yusuf Ebrahim (PNM),2019-2019,3,3,7.0,1,44,1,1/13,44.00,6.28,42.0,0,0,
35,Zaheer Maqsood (UAE),2015-2016,3,3,9.0,0,80,1,1/29,80.00,8.88,54.0,0,0,
36,Zamir Khan (AFG),2012-2012,1,1,4.0,0,26,1,1/26,26.00,6.5,24.0,0,0,
37,Zawar Farid (UAE),2019-2019,4,2,4.1,0,35,1,1/34,35.00,8.4,25.0,0,0,
38,C Zhuwao (ZIM),2008-2018,7,1,0.2,0,1,1,1/1,1.00,3.0,2.0,0,0,
39,Zohaib Sarwar (PORT),2019-2019,4,4,7.0,0,51,1,1/8,51.00,7.28,42.0,0,0,
40,M Zondeki (SA),2006-2006,1,1,3.0,0,41,1,1/41,41.00,13.66,18.0,0,0,
41,Abdullah Mahmood (DEN),2019-2019,1,1,1.0,0,9,0,-,-,9.0,-,0,0,
42,Abdullah Sheikh (NOR),2019-2019,2,1,1.0,0,13,0,-,-,13.0,-,0,0,
43,Abdur Rauf (PAK),2008-2008,1,1,3.0,0,21,0,-,-,7.0,-,0,0,
44,M Aboagye (Ghana),2019-2019,3,1,1.0,0,17,0,-,-,17.0,-,0,0,
45,RA Abolarin (NGA),2019-2019,1,1,0.4,0,7,0,-,-,10.5,-,0,0,
46,S Adedeji (NGA),2019-2019,6,1,2.0,0,21,0,-,-,10.5,-,0,0,
47,Aftab Ahmed (BDESH),2006-2010,11,1,0.2,0,8,0,-,-,24.0,-,0,0,
48,GJ Agius (MALTA),2019-2019,2,2,5.0,0,53,0,-,-,10.6,-,0,0,
49,Ahmed Shehzad (PAK),2009-2019,59,1,1.0,0,10,0,-,-,10.0,-,0,0,
0,DS Airee (NEPAL),2018-2019,18,1,2.0,0,23,0,-,-,11.5,-,0,0,
1,Ameer Saiyed (Botsw),2019-2019,4,3,4.0,0,44,0,-,-,11.0,-,0,0,
2,Ammad Uddin (BAH),2019-2019,4,1,0.1,0,1,0,-,-,6.0,-,0,0,
3,Anasim Khan (BAH),2019-2019,4,4,14.0,0,119,0,-,-,8.5,-,0,0,
4,J Anderson (IRE),2015-2015,4,1,1.0,0,13,0,-,-,13.0,-,0,0,
5,DK Anefie (Ghana),2019-2019,4,4,12.0,0,72,0,-,-,6.0,-,0,0,
6,Anowarul Islam (THAI),2019-2019,4,2,3.0,0,25,0,-,-,8.33,-,0,0,
7,Ansar Iqbal (NOR),2019-2019,4,1,2.0,0,13,0,-,-,6.5,-,0,0,
8,Aqib Iqbal (Aut),2019-2019,5,4,13.0,0,84,0,-,-,6.46,-,0,0,
9,Arsalan Qadir (CAN),2010-2010,1,1,1.0,0,12,0,-,-,12.0,-,0,0,
10,U Aryaman Sunil (SGP),2019-2019,2,2,3.0,0,28,0,-,-,9.33,-,0,0,
11,Asad Ali (PAK),2013-2013,2,2,4.0,0,33,0,-,-,8.25,-,0,0,
12,A Ashokan (CZK-R),2019-2019,2,1,2.0,0,16,0,-,-,8.0,-,0,0,
13,Atif Ali Khan (UAE),2016-2016,1,1,4.0,0,43,0,-,-,10.75,-,0,0,
14,Avi Dixit (SGP),2019-2019,1,1,1.0,0,15,0,-,-,15.0,-,0,0,
15,P Awana (INDIA),2012-2012,2,2,6.0,0,71,0,-,-,11.83,-,0,0,
16,KS Bagabena (Ghana),2019-2019,4,4,4.5,0,56,0,-,-,11.58,-,0,0,
17,KMC Bandara (SL),2016-2016,1,1,1.0,0,11,0,-,-,11.0,-,0,0,
18,GEF Barnett (CAN),2008-2010,5,1,1.0,0,11,0,-,-,11.0,-,0,0,
19,GJ Batty (ENG),2009-2009,1,1,3.0,0,17,0,-,-,5.66,-,0,0,
20,DE Bernard (WI),2009-2009,1,1,4.0,0,17,0,-,-,4.25,-,0,0,
21,P Bharat Patel (PNM),2019-2019,2,2,5.0,0,40,0,-,-,8.0,-,0,0,
22,Meet Bhavsar (KUW),2019-2019,9,1,1.0,0,11,0,-,-,11.0,-,0,0,
23,RL Bhudia (KENYA),2007-2007,3,3,7.2,0,78,0,-,-,10.63,-,0,0,
24,KK Bishnoi (),2019-2019,3,2,3.0,0,27,0,-,-,9.0,-,0,0,
25,NE Bonner (WI),2011-2012,2,1,2.0,0,18,0,-,-,9.0,-,0,0,
26,IDR Bradshaw (WI),2006-2006,1,1,4.0,0,22,0,-,-,5.5,-,0,0,
27,DR Brown (SCOT),2007-2007,2,1,4.0,0,44,0,-,-,11.0,-,0,0,
28,DK Butler (WI),2006-2006,1,1,3.0,0,22,0,-,-,7.33,-,0,0,
29,J Butler (GUE),2019-2019,9,1,1.0,0,15,0,-,-,15.0,-,0,0,
30,JD Campbell (WI),2019-2019,2,1,1.0,0,1,0,-,-,1.0,-,0,0,
31,J Cutinho (CRC),2019-2019,3,1,0.5,0,7,0,-,-,8.4,-,0,0,
32,DAP Darrell (BMUDA),2019-2019,11,1,2.0,0,14,0,-,-,7.0,-,0,0,
33,BFW de Leede (NL),2018-2019,8,2,2.0,0,27,0,-,-,13.5,-,0,0,
34,N Deonarine (WI),2010-2013,8,4,9.0,0,87,0,-,-,9.66,-,0,0,
35,PC de Silva (SL),2017-2017,2,2,2.0,0,30,0,-,-,15.0,-,0,0,
36,ST de Silva (SL),2017-2017,3,1,1.0,0,10,0,-,-,10.0,-,0,0,
37,BJ Diamanti (NZ),2009-2009,1,1,2.0,0,19,0,-,-,9.5,-,0,0,
38,A Djorovic (Serb),2019-2019,2,2,6.0,1,32,0,-,-,5.33,-,0,0,
39,B Dugic (Serb),2019-2019,2,2,2.3,0,22,0,-,-,8.8,-,0,0,
40,F du Plessis (SA/World),2012-2019,44,2,1.2,0,3,0,-,-,2.25,-,0,0,
41,AB Dursak (TKY),2019-2019,4,3,8.4,0,134,0,-,-,15.46,-,0,0,
42,PS Eaglestone (IRE),2010-2010,1,1,2.0,0,16,0,-,-,8.0,-,0,0,
43,Fahad Tariq (UAE),2016-2016,6,2,3.0,0,26,0,-,-,8.66,-,0,0,
44,Fakhar Zaman (PAK),2017-2019,34,1,1.0,0,12,0,-,-,12.0,-,0,0,
45,Fazal Niazai (AFG),2019-2019,1,1,1.0,0,13,0,-,-,13.0,-,0,0,
46,MVT Fernando (SL),2017-2017,1,1,2.0,0,16,0,-,-,8.0,-,0,0,
47,AJ Finch (AUS),2011-2019,58,2,2.0,0,27,0,-,-,13.5,-,0,0,
48,JA Fitzgerald (GIBR),2019-2019,4,1,2.0,0,22,0,-,-,11.0,-,0,0,
49,DR Flynn (NZ),2008-2012,5,1,1.0,0,7,0,-,-,7.0,-,0,0,
0,GF Gomes (Moz),2019-2019,7,1,2.0,0,16,0,-,-,8.0,-,0,0,
1,MJ Guptill (NZ),2009-2019,83,1,1.0,0,11,0,-,-,11.0,-,0,0,
2,Hamza Dar (ESP),2019-2019,1,1,2.0,0,22,0,-,-,11.0,-,0,0,
3,Hasheem Shahzad (MALTA),2019-2019,2,1,4.0,0,32,0,-,-,8.0,-,0,0,
4,RJ Hatchman (GIBR),2019-2019,1,1,4.0,0,33,0,-,-,8.25,-,0,0,
5,T Henderson (SA),2006-2006,1,1,4.0,0,31,0,-,-,7.75,-,0,0,
6,H Hiri (PNG),2016-2019,5,1,1.0,0,5,0,-,-,5.0,-,0,0,
7,KC Hodsoll (BMUDA),2008-2008,1,1,1.0,0,8,0,-,-,8.0,-,0,0,
8,MEK Hussey (AUS),2005-2012,38,1,1.0,0,5,0,-,-,5.0,-,0,0,
9,EH Hutchinson (USA),2019-2019,2,1,3.0,0,20,0,-,-,6.66,-,0,0,
10,Ibrahim Khan (Saudi),2019-2019,1,1,2.0,0,17,0,-,-,8.5,-,0,0,
11,Ibrahim Nashath (Mald),2019-2019,3,2,4.0,0,48,0,-,-,12.0,-,0,0,
12,Iftikhar Ahmed (PAK),2016-2019,6,1,1.0,0,7,0,-,-,7.0,-,0,0,
13,Imran Khan (PORT),2019-2019,4,1,2.0,0,13,0,-,-,6.5,-,0,0,
14,B Ivanov (),2019-2019,3,1,2.0,0,36,0,-,-,18.0,-,0,0,
15,Jagjit Singh (Peru),2019-2019,4,1,1.0,0,10,0,-,-,10.0,-,0,0,
16,NA Janes (THAI),2019-2019,2,1,1.0,0,12,0,-,-,12.0,-,0,0,
17,T Jamtsho (BHU),2019-2019,2,2,4.1,0,48,0,-,-,11.52,-,0,0,
18,Jatinder Singh (OMAN),2015-2019,25,1,2.0,0,17,0,-,-,8.5,-,0,0,
19,Javed Maroofkhail (NOR),2019-2019,2,1,2.0,0,22,0,-,-,11.0,-,0,0,
20,DPMD Jayawardene (SL),2006-2014,55,1,1.0,0,8,0,-,-,8.0,-,0,0,
21,P Jayeshbhai Patel (PNM),2019-2019,2,1,2.0,0,21,0,-,-,10.5,-,0,0,
22,Jay Odedra (OMAN),2019-2019,3,3,7.0,0,74,0,-,-,10.57,-,0,0,
23,NG Jones (IRE),2010-2012,5,2,2.0,0,14,0,-,-,7.0,-,0,0,
24,Kamran Khan (QAT),2019-2019,14,2,4.1,0,48,0,-,-,11.52,-,0,0,
25,TP Kamungozi (ZIM),2014-2014,1,1,2.0,0,17,0,-,-,8.5,-,0,0,
26,G Kansonkho (MWI),2019-2019,6,1,1.0,0,15,0,-,-,15.0,-,0,0,
27,S Kansoy (TKY),2019-2019,4,1,1.0,0,14,0,-,-,14.0,-,0,0,
28,M Kartik (INDIA),2007-2007,1,1,4.0,0,27,0,-,-,6.75,-,0,0,
29,Karweng NG (PHI),2019-2019,4,3,9.0,0,81,0,-,-,9.0,-,0,0,
30,JM Kemp (SA),2005-2007,8,1,1.0,0,5,0,-,-,5.0,-,0,0,
31,GE Kidd (IRE),2010-2010,1,1,3.0,0,32,0,-,-,10.66,-,0,0,
32,RJ Kirtley (ENG),2007-2007,1,1,1.0,0,17,0,-,-,17.0,-,0,0,
33,GJP Kruger (SA),2006-2006,1,1,4.0,0,29,0,-,-,7.25,-,0,0,
34,JS Kundi (KENYA),2019-2019,6,2,2.0,0,15,0,-,-,7.5,-,0,0,
35,Kushal Malla (NEPAL),2019-2019,3,2,4.0,0,38,0,-,-,9.5,-,0,0,
36,A Lagos (),2019-2019,1,1,2.0,0,13,0,-,-,6.5,-,0,0,
37,RDM Leverock (BMUDA),2008-2008,2,2,5.0,0,27,0,-,-,5.4,-,0,0,
38,RN Lewis (WI),2008-2008,1,1,1.0,0,9,0,-,-,9.0,-,0,0,
39,I Lisboa (Chile),2019-2019,1,1,2.0,0,17,0,-,-,8.5,-,0,0,
40,AM McCarthy (WI),2018-2018,1,1,2.0,0,12,0,-,-,6.0,-,0,0,
41,LD Madushanka (SL),2019-2019,2,1,4.0,0,36,0,-,-,9.0,-,0,0,
42,Mahedi Hasan (BDESH),2018-2018,1,1,2.0,0,25,0,-,-,12.5,-,0,0,
43,C Mahoney (Peru),2019-2019,3,1,1.0,0,10,0,-,-,10.0,-,0,0,
44,BF Mailata (Samoa),2019-2019,4,2,2.0,0,24,0,-,-,12.0,-,0,0,
45,D Manani (ROM),2019-2019,2,2,4.0,0,27,0,-,-,6.75,-,0,0,
46,M Markande (INDIA),2019-2019,1,1,4.0,0,31,0,-,-,7.75,-,0,0,
47,D Marks (MALTA),2019-2019,2,2,7.0,0,54,0,-,-,7.71,-,0,0,
48,S Matsikenyeri (ZIM),2006-2012,10,3,2.4,0,23,0,-,-,8.62,-,0,0,
49,GJ McCarter (IRE),2015-2015,3,2,5.0,0,50,0,-,-,10.0,-,0,0,
0,A Mehmood (HKG),2016-2016,2,1,1.0,0,12,0,-,-,12.0,-,0,0,
1,Mehrab Hossain jnr (BDESH),2008-2009,2,1,2.5,0,20,0,-,-,7.05,-,0,0,
2,D Mejia (CRC),2019-2019,3,2,4.0,0,23,0,-,-,5.75,-,0,0,
3,PHKD Mendis (SL),2018-2019,4,3,5.0,0,48,0,-,-,9.6,-,0,0,
4,KO Meth (ZIM),2012-2012,2,2,7.0,0,64,0,-,-,9.14,-,0,0,
5,AJ Michael (Samoa),2019-2019,4,1,2.0,0,18,0,-,-,9.0,-,0,0,
6,Mihusan Hamid (Mald),2019-2019,1,1,3.0,0,29,0,-,-,9.66,-,0,0,
7,Mohamed Arief (MAL),2019-2019,5,2,2.0,0,19,0,-,-,9.5,-,0,0,
8,Mohammad Tauqir (UAE),2015-2015,3,3,7.0,1,55,0,-,-,7.85,-,0,0,
9,JN Mohammed (WI),2017-2018,9,2,2.0,0,13,0,-,-,6.5,-,0,0,
10,Mohammed Asghar (KUW),2019-2019,4,2,4.0,0,28,0,-,-,7.0,-,0,0,
11,Mohammed Qasim (UAE),2016-2017,3,1,1.0,0,8,0,-,-,8.0,-,0,0,
12,HJC Mol (NL),2008-2008,4,1,1.3,0,12,0,-,-,8.0,-,0,0,
13,Mominul Haque (BDESH),2012-2014,6,2,3.0,0,32,0,-,-,10.66,-,0,0,
14,JWN Moses (Botsw),2019-2019,3,2,8.0,0,46,0,-,-,5.75,-,0,0,
15,Muhammad Asjed (ESP),2019-2019,2,1,1.0,0,9,0,-,-,9.0,-,0,0,
16,Muhammad Musa (PAK),2019-2019,1,1,3.5,0,39,0,-,-,10.17,-,0,0,
17,Muhammad Naeem (Saudi),2019-2019,5,1,1.0,0,13,0,-,-,13.0,-,0,0,
18,Muhammed Shanil (UAE),2016-2016,1,1,4.0,0,49,0,-,-,12.25,-,0,0,
19,RG Mukasa (UGA),2019-2019,4,2,7.0,0,40,0,-,-,5.71,-,0,0,
20,Muktar Ali (BDESH),2016-2016,1,1,2.0,0,17,0,-,-,8.5,-,0,0,
21,FF Mulivai (Samoa),2019-2019,4,1,0.1,0,6,0,-,-,36.0,-,0,0,
22,T Munyonga (ZIM),2019-2019,5,1,1.0,0,3,0,-,-,3.0,-,0,0,
23,Musawar Shah (QAT),2019-2019,2,2,3.0,0,32,0,-,-,10.66,-,0,0,
24,S Nadigotla (ROM),2019-2019,2,1,2.0,0,10,0,-,-,5.0,-,0,0,
25,Nanda Kumar (CRC),2019-2019,3,1,1.0,0,10,0,-,-,10.0,-,0,0,
26,M Nandela (Mex),2019-2019,2,1,1.0,0,13,0,-,-,13.0,-,0,0,
27,N Nankov (),2019-2019,3,1,1.0,0,15,0,-,-,15.0,-,0,0,
28,A Nao (PNG),2017-2017,2,2,5.0,0,49,0,-,-,9.8,-,0,0,
